X_Chloranthistemon_endressii,0,?,0,?,?,?,?,?,?,?,0,0,0,?,0,0,1,1,?,?,?,?,0,?,1,?,0,?,?,?
X_Dakotanthus_cordiformis,0,0,1,1,0&1,0,0,1,3,1,1,1,0,0,0&1,1,0,0,0,1,3,0,3,1,1,0,?,0,3,2
X_Kajanthus_lusitanicus,0,0,1,2,0,0,0,2,1,1,1,0,0,?,2,0,0,0,0,1,1,0,2,0,0,?,2,?,3,0
X_Mauldinia_mirabilis,0,0,1,1,0&1,0,0,1,1,0&1,1,1,0,1,0&1&2,0,2,1,0,2,1,?,0,?,1,?,0,?,?,?
X_Microvictoria_svitkoana,0,0,1,2,0,0,1,?,?,1,2,0,0,0,?,0,?,1,1,?,?,1,4,0,0,0,?,?,?,?
X_Paleoclusia_chevalieri,?,0,1,1,0,0,0,1,3,1,2,?,1,0,?,1,0,0,0,0,3,0,3,1,1,1,2,0,3,2
X_Paradinandra_suecica,0,0,1,1,0&1,0,0,1,3,1,2,1,0&1,0&1,?,0,0,0,0,1,3,0,2,1,1,0&1,2,0&1,3,0
X_Spanomera_mauldinensis,1,0,1,0,0,?,0,1,0,0,0,1,0,?,0&1,1,0,1,0,1,0,0,1,?,1,0,?,?,3,0
X_Tylerianthus_crossmanensis,0,1,1,1,0&1,0,0,1,3,1,0,1,0&1,?,0,0,0,0,0,1,3,0,1,1,1,0,2,0,3,2
X_Virginianthus_calycanthoides,0,0,1,2,0,0,1,?,?,0,2,0,0,?,2,0,1,1,1,?,?,1,4,0,?,0,1,?,1,0
Abatia_parviflora,0,0,1,0,0&1,0,0,0,2&3,?,2,1,0,?,0,0,0,0,?,?,?,?,2,1,1,1,2,1,3,2
Abelia_triflora,0,1,1,1,0&1,0,0,1,3,1,0,?,0,1,0,?,?,?,0,0,?,0,2,?,1,1,0,?,3,2
Abrophyllum_ornans,0,0,1,1&2,0&1,0,0,1,2&3,1,0,?,0,0,0,0,0,?,0,0,3,0,3,1,0&1,1,1&2,0,3,2
Acacia_fimbriata,0,?,1,1,0&1,?,0,1,3,1,2,1,0,?,?,?,0,?,?,?,?,?,0,?,1,?,2,?,?,?
Acalypha_californica,1,0,1,0,?,0,0,0,1&2&3,?,0&1,1,0,0,?,?,0,?,?,?,?,0,2,?,?,?,0,?,3,2
